account_id,customer_id,branch_id,account_type,balance,opened_date,status
116,116,1,Current,337939.48,2023-07-01,Inactive
117,117,2,Fixed Deposit,81461.88,2023-11-16,Inactive
118,118,1,Savings,22529.02,2018-06-20,Closed
119,119,5,Savings,68227.3,2018-11-21,Closed
120,120,1,Fixed Deposit,74285.68,2018-01-03,Active
121,121,3,Savings,258803.71,2022-04-28,Inactive
122,122,5,Fixed Deposit,319173.73,2020-01-13,Closed
123,123,3,Savings,109080.12,2020-07-06,Closed
124,124,4,Current,86112.83,2017-09-04,Inactive
125,125,5,Savings,397513.42,2021-08-03,Active
126,126,5,Fixed Deposit,255891.65,2019-06-02,Active
127,127,3,Current,298670.15,2025-04-02,Active
128,128,2,Current,193345.48,2025-03-19,Active
129,129,1,Savings,261832.96,2025-03-10,Closed
130,130,4,Savings,303150.0,2018-07-25,Active
131,131,4,Fixed Deposit,300307.08,2021-07-11,Closed
132,132,5,Savings,47501.79,2015-09-19,Closed
133,133,2,Fixed Deposit,270103.71,2017-04-09,Active
134,134,4,Fixed Deposit,210921.33,2020-06-28,Active
135,135,5,Current,115513.64,2021-04-01,Inactive
136,136,4,Current,294934.99,2020-02-07,Closed
137,137,5,Savings,213319.21,2018-10-05,Inactive
138,138,4,Savings,455132.59,2018-02-18,Active
139,139,3,Fixed Deposit,438506.39,2020-06-07,Inactive
140,140,3,Savings,3729.26,2017-11-04,Closed
141,141,1,Fixed Deposit,261747.77,2020-09-12,Closed
142,142,1,Current,327618.51,2022-03-27,Closed
143,143,3,Current,181772.63,2016-08-06,Active
144,144,4,Fixed Deposit,293099.72,2019-12-29,Inactive
145,145,5,Current,282770.45,2024-10-18,Closed
146,146,3,Fixed Deposit,199329.62,2018-10-05,Active
147,147,4,Fixed Deposit,392110.42,2021-03-15,Inactive
148,148,2,Current,279987.82,2021-11-02,Inactive
149,149,3,Current,289247.93,2018-09-16,Closed
150,150,4,Fixed Deposit,69896.19,2023-03-23,Closed
151,151,1,Fixed Deposit,115655.88,2023-06-29,Closed
152,152,2,Savings,108014.61,2017-06-18,Inactive
153,153,3,Fixed Deposit,307398.66,2018-06-08,Closed
154,154,1,Savings,195162.74,2017-10-23,Closed
155,155,1,Savings,411804.48,2016-02-05,Inactive
156,156,5,Current,44982.2,2015-10-05,Inactive
157,157,2,Current,40939.83,2018-12-17,Active
158,158,4,Current,307368.83,2024-01-29,Closed
159,159,3,Fixed Deposit,481801.38,2023-01-09,Active
160,160,2,Fixed Deposit,247689.82,2023-11-25,Active
161,161,2,Fixed Deposit,465448.48,2016-01-19,Closed
162,162,3,Savings,17771.07,2015-10-13,Closed
163,163,5,Fixed Deposit,349526.42,2022-06-12,Closed
164,164,2,Fixed Deposit,18994.51,2018-11-10,Active
165,165,1,Savings,44334.56,2020-08-18,Inactive
166,166,4,Current,335161.36,2017-11-24,Inactive
167,167,5,Savings,259353.61,2015-10-30,Closed
168,168,1,Savings,275246.73,2021-11-22,Closed
169,169,5,Fixed Deposit,174699.53,2021-09-04,Inactive
170,170,2,Fixed Deposit,481565.51,2016-04-05,Inactive
171,171,4,Fixed Deposit,3321.07,2021-08-02,Active
172,172,4,Fixed Deposit,54126.01,2022-06-17,Active
173,173,5,Current,170642.98,2021-01-17,Active
174,174,5,Current,438180.41,2018-04-15,Closed
175,175,3,Fixed Deposit,221941.55,2020-08-01,Inactive
176,176,5,Current,385213.63,2022-12-23,Inactive
177,177,4,Fixed Deposit,230899.5,2017-08-16,Closed
178,178,1,Current,59017.88,2025-02-09,Active
179,179,4,Fixed Deposit,394539.35,2015-09-15,Active
180,180,2,Current,206800.56,2022-01-10,Inactive
181,181,5,Fixed Deposit,5851.87,2022-03-22,Inactive
182,182,2,Current,47411.71,2018-11-06,Closed
183,183,3,Savings,277721.2,2024-02-05,Active
184,184,4,Current,177415.43,2025-04-23,Closed
185,185,3,Savings,473611.94,2019-07-28,Closed
186,186,2,Current,368819.01,2018-05-06,Active
187,187,2,Current,104182.54,2017-07-20,Active
188,188,2,Fixed Deposit,178657.66,2020-04-05,Active
189,189,1,Savings,338230.25,2025-03-17,Closed
190,190,4,Fixed Deposit,4305.21,2020-02-02,Closed
191,191,1,Current,186227.07,2023-01-23,Inactive
192,192,4,Fixed Deposit,434515.65,2025-03-29,Inactive
193,193,2,Fixed Deposit,140853.04,2021-01-26,Active
194,194,5,Savings,28019.94,2023-11-20,Inactive
195,195,4,Fixed Deposit,17248.76,2020-06-27,Inactive
196,196,4,Fixed Deposit,388176.08,2020-07-14,Inactive
197,197,1,Fixed Deposit,259584.36,2017-05-28,Inactive
198,198,1,Savings,337377.43,2019-10-09,Inactive
199,199,5,Savings,163392.66,2018-01-10,Closed
200,200,3,Savings,274733.14,2020-12-25,Active
201,201,3,Current,479304.88,2018-01-22,Inactive
202,202,3,Savings,249886.24,2018-08-16,Active
203,203,4,Fixed Deposit,376345.69,2015-11-25,Inactive
204,204,4,Current,225913.77,2022-08-19,Closed
205,205,2,Fixed Deposit,343319.94,2017-03-18,Active
206,206,3,Savings,278114.68,2016-03-23,Inactive
207,207,2,Savings,400218.69,2021-12-12,Closed
208,208,2,Current,403028.51,2025-02-08,Active
209,209,4,Current,68101.37,2017-11-15,Closed
210,210,5,Fixed Deposit,360559.6,2017-04-27,Inactive
211,211,3,Current,281507.09,2023-05-15,Closed
212,212,1,Current,50388.42,2019-05-13,Active
213,213,1,Savings,407095.22,2017-03-18,Inactive
214,214,1,Current,372552.02,2019-05-05,Inactive
215,215,3,Current,280614.67,2018-01-03,Inactive
216,216,3,Savings,206468.69,2021-02-05,Inactive
217,217,5,Savings,288850.02,2024-08-05,Closed
218,218,5,Savings,489707.19,2021-01-23,Inactive
219,219,3,Current,336923.23,2018-04-29,Inactive
220,220,4,Savings,191154.43,2024-12-17,Inactive
221,221,4,Fixed Deposit,478340.62,2023-11-19,Active
222,222,3,Current,316005.43,2022-09-11,Closed
223,223,4,Savings,40476.85,2017-12-03,Inactive
224,224,2,Current,159122.24,2020-04-09,Inactive
225,225,3,Fixed Deposit,322677.5,2019-12-26,Inactive
226,226,4,Current,374199.85,2016-06-26,Closed
227,227,4,Current,84491.74,2025-04-29,Active
228,228,2,Fixed Deposit,118078.97,2023-08-22,Inactive
229,229,1,Savings,84288.32,2021-07-10,Active
230,230,1,Savings,468460.04,2024-04-07,Inactive
231,231,5,Savings,14156.09,2022-10-12,Inactive
232,232,5,Savings,52860.27,2025-02-12,Closed
233,233,2,Savings,327761.51,2023-02-20,Inactive
234,234,3,Savings,124450.86,2019-12-08,Inactive
235,235,4,Fixed Deposit,64079.44,2020-10-24,Closed
236,236,2,Savings,18542.34,2024-01-12,Inactive
237,237,3,Current,234129.54,2016-07-13,Closed
238,238,3,Fixed Deposit,222977.62,2017-09-13,Closed
239,239,5,Savings,295824.63,2025-06-05,Inactive
240,240,5,Current,262206.44,2021-10-30,Closed
241,241,5,Current,454552.65,2016-06-08,Inactive
242,242,5,Savings,402549.18,2022-04-28,Inactive
243,243,3,Current,206689.7,2020-10-07,Active
244,244,3,Savings,1046.08,2024-04-04,Active
245,245,3,Current,235129.78,2021-06-11,Active
246,246,4,Current,150505.65,2018-03-30,Inactive
247,247,3,Fixed Deposit,116376.48,2021-04-29,Active
248,248,5,Current,95096.92,2018-11-15,Closed
249,249,4,Current,125698.16,2021-03-24,Closed
250,250,4,Current,111075.62,2018-11-13,Active
251,251,4,Fixed Deposit,120541.35,2020-11-20,Closed
252,252,3,Current,324580.06,2017-10-13,Closed
253,253,3,Current,94812.31,2023-07-04,Active
254,254,2,Savings,145508.05,2018-04-30,Closed
255,255,4,Fixed Deposit,226930.85,2020-03-13,Closed
256,256,5,Current,94706.93,2021-10-27,Active
257,257,2,Savings,484888.39,2021-10-17,Active
258,258,2,Savings,141775.15,2021-09-19,Active
259,259,4,Fixed Deposit,5093.84,2017-02-10,Active
260,260,2,Savings,247296.2,2020-04-23,Inactive
261,261,4,Current,393076.94,2025-01-15,Inactive
262,262,3,Current,348770.47,2015-07-19,Active
263,263,3,Savings,421929.6,2019-03-02,Active
264,264,1,Current,388050.8,2019-08-21,Active
265,265,5,Current,91620.27,2020-10-26,Inactive
266,266,4,Savings,61858.82,2018-12-17,Closed
267,267,2,Current,385841.44,2021-02-16,Inactive
268,268,2,Fixed Deposit,497273.17,2015-08-26,Active
269,269,4,Fixed Deposit,385726.99,2019-12-20,Closed
270,270,2,Current,195172.36,2016-01-29,Inactive
271,271,3,Savings,314952.96,2020-04-24,Active
272,272,5,Fixed Deposit,61948.61,2022-05-04,Inactive
273,273,3,Savings,180852.9,2022-12-03,Active
274,274,2,Savings,118746.95,2017-11-08,Inactive
275,275,3,Savings,84512.82,2021-10-06,Inactive
276,276,5,Savings,198508.34,2016-09-05,Active
277,277,1,Savings,290957.43,2018-07-11,Closed
278,278,4,Fixed Deposit,298509.93,2022-06-22,Inactive
279,279,1,Savings,79691.53,2018-05-21,Active
280,280,5,Current,465493.54,2020-04-05,Closed
281,281,1,Savings,178403.32,2022-12-11,Active
282,282,5,Savings,63787.9,2016-01-25,Active
283,283,3,Fixed Deposit,394492.35,2021-04-25,Inactive
284,284,4,Fixed Deposit,97289.68,2023-12-18,Closed
285,285,4,Current,362475.18,2016-11-28,Inactive
286,286,1,Current,353606.36,2015-09-28,Closed
287,287,3,Fixed Deposit,348821.85,2022-05-16,Active
288,288,5,Savings,272266.65,2018-08-16,Inactive
289,289,4,Current,433963.26,2018-03-03,Closed
290,290,5,Savings,35369.42,2015-10-19,Active
291,291,4,Current,409889.86,2016-03-10,Closed
292,292,3,Current,1359.19,2023-12-24,Closed
293,293,5,Current,367095.21,2020-09-12,Active
294,294,5,Current,388232.27,2017-06-15,Active
295,295,3,Fixed Deposit,32607.54,2024-10-21,Closed
296,296,4,Savings,262510.81,2021-10-14,Inactive
297,297,5,Savings,306906.58,2016-09-29,Inactive
298,298,4,Fixed Deposit,161690.0,2017-03-26,Active
299,299,5,Fixed Deposit,34273.24,2025-04-21,Active
300,300,2,Savings,101837.44,2017-05-31,Inactive
301,301,2,Savings,16876.76,2024-12-02,Closed
302,302,4,Fixed Deposit,245464.91,2020-09-08,Closed
303,303,5,Current,25493.73,2021-12-21,Active
304,304,5,Fixed Deposit,36366.11,2017-09-17,Active
305,305,4,Savings,234561.51,2016-10-06,Closed
306,306,1,Current,279451.92,2018-02-15,Inactive
307,307,3,Fixed Deposit,30091.71,2020-08-15,Closed
308,308,3,Fixed Deposit,21285.92,2017-08-28,Active
309,309,3,Savings,472357.14,2020-06-03,Closed
310,310,1,Savings,362860.79,2018-11-24,Closed
311,311,4,Savings,97366.6,2019-07-04,Closed
312,312,2,Fixed Deposit,313037.2,2016-06-13,Active
313,313,5,Fixed Deposit,279512.66,2020-06-29,Closed
314,314,1,Fixed Deposit,288705.27,2020-04-13,Closed
315,315,4,Fixed Deposit,332955.94,2023-12-04,Active
316,316,2,Savings,275432.77,2023-09-28,Closed
317,317,3,Fixed Deposit,79930.05,2021-01-15,Closed
318,318,4,Current,451340.0,2020-08-11,Closed
319,319,3,Current,206759.3,2018-09-30,Closed
320,320,4,Fixed Deposit,162402.01,2023-07-27,Active
321,321,5,Fixed Deposit,107750.14,2021-06-10,Closed
322,322,3,Current,480864.24,2017-06-17,Inactive
323,323,4,Savings,363430.33,2016-06-09,Inactive
324,324,5,Savings,259287.07,2020-11-27,Inactive
325,325,1,Current,492212.82,2017-09-18,Active
326,326,3,Savings,385990.01,2016-04-14,Closed
327,327,3,Fixed Deposit,256124.47,2016-06-21,Closed
328,328,5,Savings,48049.28,2018-03-19,Inactive
329,329,3,Savings,70065.69,2018-02-03,Inactive
330,330,5,Savings,117264.08,2018-11-22,Inactive
331,331,1,Fixed Deposit,200499.33,2015-07-07,Active
332,332,1,Fixed Deposit,163021.33,2020-12-06,Inactive
333,333,2,Current,413026.92,2022-04-30,Closed
334,334,5,Savings,298020.37,2015-08-30,Inactive
335,335,1,Fixed Deposit,404362.24,2024-04-10,Inactive
336,336,1,Savings,461013.88,2016-03-21,Inactive
337,337,3,Current,208844.33,2019-09-02,Active
338,338,2,Fixed Deposit,326736.81,2025-02-14,Closed
339,339,1,Fixed Deposit,388931.89,2016-09-25,Inactive
340,340,1,Current,262667.29,2017-09-16,Inactive
341,341,5,Fixed Deposit,75640.43,2022-05-23,Closed
342,342,2,Savings,26209.39,2023-07-26,Closed
343,343,4,Current,376667.26,2016-08-13,Closed
344,344,5,Savings,111820.73,2019-11-23,Inactive
345,345,4,Savings,66962.33,2017-10-23,Active
346,346,4,Fixed Deposit,372912.2,2017-04-25,Closed
347,347,4,Current,43454.41,2018-07-24,Closed
348,348,4,Fixed Deposit,66057.21,2023-08-24,Active
349,349,4,Fixed Deposit,99856.16,2016-12-09,Inactive
350,350,5,Savings,281022.64,2016-05-10,Closed
351,351,5,Savings,121915.23,2016-05-16,Inactive
352,352,4,Current,342684.25,2016-05-08,Closed
353,353,1,Savings,336202.03,2018-06-13,Inactive
354,354,3,Current,96054.38,2016-04-19,Inactive
355,355,5,Fixed Deposit,13079.21,2017-11-01,Inactive
356,356,2,Current,308494.28,2021-12-10,Inactive
357,357,5,Savings,220791.25,2016-11-21,Active
358,358,2,Fixed Deposit,187536.57,2021-12-03,Closed
359,359,1,Savings,370051.23,2020-05-01,Active
360,360,5,Savings,434507.42,2017-07-29,Inactive
361,361,1,Current,347203.82,2024-12-30,Active
362,362,3,Current,236123.96,2016-08-20,Inactive
363,363,2,Fixed Deposit,269464.72,2019-11-03,Active
364,364,5,Fixed Deposit,375427.22,2022-02-01,Closed
365,365,4,Fixed Deposit,365231.87,2023-11-12,Active
366,366,1,Current,291919.47,2017-02-26,Closed
367,367,5,Savings,128472.72,2019-06-13,Active
368,368,3,Savings,394805.06,2024-09-20,Closed
369,369,3,Savings,233015.45,2018-12-29,Active
370,370,1,Current,330526.04,2023-06-04,Closed
371,371,3,Savings,10520.08,2023-01-11,Closed
372,372,4,Savings,489916.63,2020-07-17,Closed
373,373,1,Current,242846.41,2020-10-08,Closed
374,374,5,Savings,94022.28,2018-03-28,Closed
375,375,4,Fixed Deposit,463248.64,2021-06-02,Active
376,376,1,Savings,461212.79,2024-02-02,Inactive
377,377,3,Current,197306.51,2023-10-29,Active
378,378,1,Current,342471.37,2016-09-23,Inactive
379,379,3,Savings,498001.21,2016-08-07,Closed
380,380,3,Savings,313270.39,2018-07-22,Inactive
381,381,1,Fixed Deposit,474609.09,2020-12-29,Active
382,382,2,Current,448690.48,2017-02-19,Closed
383,383,2,Savings,365214.94,2017-06-03,Closed
384,384,5,Fixed Deposit,343575.13,2018-09-20,Inactive
385,385,2,Fixed Deposit,77221.83,2020-08-30,Inactive
386,386,5,Current,225135.42,2020-10-27,Active
387,387,2,Fixed Deposit,70149.69,2015-09-02,Closed
388,388,2,Savings,155190.2,2023-08-03,Closed
389,389,5,Savings,215602.08,2017-03-12,Active
390,390,5,Savings,159430.61,2015-07-05,Closed
391,391,5,Fixed Deposit,60075.26,2016-05-27,Inactive
392,392,2,Fixed Deposit,15712.19,2023-08-24,Inactive
393,393,4,Current,152370.7,2021-05-08,Closed
394,394,3,Savings,389774.83,2020-01-24,Active
395,395,2,Savings,14072.91,2021-10-27,Closed
396,396,5,Current,303196.65,2015-08-28,Closed
397,397,2,Fixed Deposit,116859.08,2023-10-01,Closed
398,398,1,Current,40658.24,2024-07-01,Inactive
399,399,2,Fixed Deposit,423222.98,2021-11-08,Inactive
400,400,3,Savings,426212.59,2020-05-16,Inactive
401,401,4,Savings,82729.4,2020-07-27,Active
402,402,1,Current,382504.89,2020-03-17,Active
403,403,3,Current,112054.55,2023-04-03,Closed
404,404,2,Savings,34002.03,2021-11-01,Inactive
405,405,5,Current,344243.49,2019-04-08,Inactive
406,406,2,Current,203028.52,2021-05-03,Active
407,407,5,Fixed Deposit,412339.93,2024-06-17,Closed
408,408,3,Current,306140.93,2024-10-10,Closed
409,409,5,Fixed Deposit,268543.53,2021-04-28,Closed
410,410,1,Fixed Deposit,55548.83,2022-05-21,Inactive
411,411,1,Savings,259832.62,2023-12-01,Inactive
412,412,1,Fixed Deposit,194311.53,2025-04-24,Closed
413,413,1,Savings,146298.5,2019-06-10,Inactive
414,414,3,Current,231212.23,2023-03-07,Inactive
415,415,3,Fixed Deposit,459597.38,2024-04-04,Closed
416,416,5,Savings,232325.9,2017-11-12,Closed
417,417,4,Savings,361600.75,2021-09-16,Active
418,418,2,Fixed Deposit,468983.39,2016-11-27,Closed
419,419,5,Savings,197140.29,2022-07-22,Inactive
420,420,4,Savings,90260.41,2018-10-15,Closed
421,421,2,Current,45999.65,2017-04-22,Inactive
422,422,2,Fixed Deposit,366897.9,2021-03-10,Active
423,423,1,Fixed Deposit,225249.81,2024-05-23,Inactive
424,424,1,Fixed Deposit,353932.28,2018-09-25,Closed
425,425,5,Fixed Deposit,474927.19,2018-03-07,Inactive
426,426,5,Current,22909.14,2017-04-01,Active
427,427,3,Fixed Deposit,435781.4,2021-11-05,Active
428,428,2,Savings,90254.52,2020-07-12,Closed
429,429,1,Current,154723.04,2025-04-03,Closed
430,430,4,Current,313599.97,2022-11-16,Active
431,431,2,Savings,2762.92,2022-05-28,Inactive
432,432,1,Current,249316.18,2019-11-23,Inactive
433,433,5,Savings,304383.98,2017-10-12,Inactive
434,434,2,Savings,294842.3,2021-10-07,Inactive
435,435,4,Current,221495.81,2020-04-25,Closed
436,436,5,Savings,123111.87,2021-08-12,Closed
437,437,3,Fixed Deposit,314689.08,2021-11-12,Active
438,438,1,Savings,74979.83,2020-01-03,Closed
439,439,3,Savings,73541.83,2018-02-27,Active
440,440,5,Fixed Deposit,149922.33,2016-02-20,Active
441,441,1,Savings,209061.51,2024-08-18,Active
442,442,2,Fixed Deposit,142905.89,2025-02-03,Closed
443,443,5,Fixed Deposit,393866.48,2018-08-27,Active
444,444,4,Fixed Deposit,289904.18,2023-08-30,Active
445,445,1,Current,162088.1,2023-05-26,Inactive
446,446,1,Current,421811.51,2022-02-14,Active
447,447,3,Current,68138.35,2022-12-21,Closed
448,448,3,Current,263999.31,2020-06-19,Closed
449,449,2,Fixed Deposit,105316.44,2018-03-18,Active
450,450,1,Fixed Deposit,365134.53,2018-04-23,Closed
451,451,5,Savings,242347.83,2023-06-23,Closed
452,452,5,Fixed Deposit,144306.46,2016-04-26,Closed
453,453,3,Current,263170.22,2015-10-28,Closed
454,454,3,Savings,307530.7,2020-01-06,Inactive
455,455,5,Fixed Deposit,316296.95,2017-01-09,Inactive
456,456,2,Fixed Deposit,117128.1,2016-03-29,Inactive
457,457,2,Savings,59985.36,2024-02-01,Inactive
458,458,1,Fixed Deposit,424186.82,2018-10-31,Closed
459,459,4,Current,23700.6,2016-08-12,Inactive
460,460,5,Fixed Deposit,106956.63,2024-01-30,Closed
461,461,2,Fixed Deposit,141531.72,2022-10-05,Active
462,462,3,Current,253838.12,2025-04-01,Inactive
463,463,1,Savings,343232.06,2022-12-29,Inactive
464,464,4,Fixed Deposit,284891.85,2024-01-01,Active
465,465,2,Savings,165926.9,2018-11-02,Inactive
466,466,4,Current,398829.94,2017-03-16,Closed
467,467,2,Current,78537.76,2019-09-20,Inactive
468,468,5,Current,231772.57,2016-11-18,Inactive
469,469,1,Fixed Deposit,150372.53,2022-04-17,Closed
470,470,3,Fixed Deposit,268406.85,2018-04-02,Active
471,471,5,Fixed Deposit,166527.93,2024-04-28,Inactive
472,472,1,Savings,140949.55,2025-01-07,Active
473,473,3,Current,313628.91,2016-07-23,Active
474,474,5,Fixed Deposit,195393.57,2022-08-30,Closed
475,475,1,Current,352927.83,2016-02-22,Inactive
476,476,1,Current,207520.91,2020-10-24,Inactive
477,477,2,Current,226501.26,2021-01-03,Inactive
478,478,2,Fixed Deposit,151856.83,2019-05-12,Active
479,479,3,Savings,389117.41,2022-11-10,Active
480,480,4,Fixed Deposit,13442.45,2018-01-15,Inactive
481,481,5,Savings,95915.63,2024-09-04,Inactive
482,482,5,Current,387991.07,2018-08-17,Active
483,483,1,Fixed Deposit,338681.93,2017-03-29,Active
484,484,2,Fixed Deposit,19239.72,2024-09-21,Inactive
485,485,5,Savings,3050.82,2015-11-08,Active
486,486,5,Savings,167311.59,2017-04-14,Active
487,487,1,Fixed Deposit,383323.91,2021-06-30,Closed
488,488,3,Savings,289202.36,2023-05-30,Inactive
489,489,2,Current,101077.2,2024-05-14,Inactive
490,490,3,Fixed Deposit,160255.75,2023-10-07,Inactive
491,491,1,Current,75511.04,2022-01-01,Inactive
492,492,1,Savings,479190.73,2022-01-05,Closed
493,493,5,Savings,104082.11,2020-06-12,Inactive
494,494,5,Current,136255.0,2021-12-09,Closed
495,495,3,Fixed Deposit,123167.71,2021-03-27,Active
496,496,3,Fixed Deposit,446229.31,2017-01-20,Closed
497,497,4,Savings,65906.93,2023-01-30,Inactive
498,498,1,Savings,192416.22,2019-09-08,Active
499,499,4,Current,90312.51,2018-05-19,Closed
500,500,5,Fixed Deposit,418251.03,2022-02-27,Closed
501,501,4,Fixed Deposit,178456.53,2019-06-26,Inactive
502,502,2,Fixed Deposit,379442.87,2015-09-21,Closed
503,503,1,Current,284326.86,2023-12-29,Active
504,504,4,Savings,228336.5,2015-12-03,Closed
505,505,4,Current,116615.41,2020-09-02,Active
506,506,2,Fixed Deposit,129768.33,2018-02-04,Inactive
507,507,4,Savings,350107.7,2017-03-11,Closed
